id,name,class,section,rollNo,fatherName,motherName,dateOfBirth,address,phone,schoolId,attendance,marks
1,Avni Lenka,Class 4,B,0001,Mr. Daksh Lenka,Mrs. Reyansh Lenka,2014-12-01,"Village, Street 2, Balasore",9966120481,1,95,"{""hindi"": 95, ""social_science"": 79, ""english"": 59, ""mathematics"": 87, ""science"": 48}"
2,Vivaan Sharma,Class 4,C,0002,Mr. Rudra Sharma,Mrs. Shanaya Sharma,2012-05-15,"Village, Lane 1, Khurda",9964637494,1,95,"{""social_science"": 66, ""science"": 59, ""hindi"": 70, ""english"": 67, ""odia"": 72}"
3,Diya Rout,Class 10,E,0003,Mr. Aadhya Rout,Mrs. Prisha Rout,2015-07-04,"House 456, Street 2, Puri",9661822815,1,89,"{""odia"": 93, ""hindi"": 65, ""social_science"": 56, ""science"": 79, ""mathematics"": 57, ""english"": 51, ""computer_science"": 68}"
4,Atharv Sharma,Class 4,B,0004,Mr. Neil Sharma,Mrs. Dev Sharma,2013-07-06,"Village, Road 3, Puri",9354776825,1,85,"{""odia"": 62, ""mathematics"": 48, ""science"": 65, ""computer_science"": 67, ""social_science"": 93}"
5,Kavya Tripathy,Class 4,A,0005,Mr. Kian Tripathy,Mrs. Kabir Tripathy,2014-05-17,"House 456, Road 3, Puri",9733940328,1,86,"{""science"": 93, ""social_science"": 66, ""mathematics"": 81, ""odia"": 46, ""hindi"": 88}"
6,Pari Sharma,Class 9,E,0006,Mr. Riya Sharma,Mrs. Atharv Sharma,2011-03-16,"House 456, Street 2, Balasore",9758459570,1,94,"{""odia"": 85, ""science"": 81, ""mathematics"": 44, ""social_science"": 76, ""hindi"": 81, ""english"": 65, ""computer_science"": 83}"
7,Shaurya Rout,Class 10,C,0007,Mr. Harsh Rout,Mrs. Kavya Rout,2013-06-11,"House 456, Lane 1, Mayurbhanj",9419298207,1,89,"{""mathematics"": 63, ""english"": 91, ""computer_science"": 40, ""social_science"": 40, ""science"": 81, ""odia"": 54, ""hindi"": 73}"
8,Ishaan Dash,Class 10,C,0008,Mr. Raghav Dash,Mrs. Samarth Dash,2013-05-25,"Village, Road 3, Mayurbhanj",9947700852,1,81,"{""hindi"": 93, ""mathematics"": 87, ""social_science"": 67, ""english"": 85, ""computer_science"": 53, ""science"": 45, ""odia"": 41}"
9,Neil Nayak,Class 1,D,0009,Mr. Vedant Nayak,Mrs. Divyansh Nayak,2015-05-14,"Village, Street 2, Khurda",9345728040,1,81,"{""odia"": 41, ""english"": 64, ""computer_science"": 60}"
10,Aanya Kumar,Class 9,D,0010,Mr. Rudra Kumar,Mrs. Vedant Kumar,2015-05-31,"House 456, Lane 1, Puri",9680103570,1,94,"{""computer_science"": 57, ""mathematics"": 88, ""hindi"": 56, ""english"": 94, ""social_science"": 68, ""odia"": 44, ""science"": 53}"
11,Arjun Patra,Class 6,D,0011,Mr. Ishaan Patra,Mrs. Rishabh Patra,2013-10-14,"Village, Street 2, Cuttack",9981692151,1,92,"{""hindi"": 72, ""computer_science"": 62, ""english"": 66, ""social_science"": 94, ""odia"": 72, ""mathematics"": 72}"
12,Kavya Maharana,Class 8,A,0012,Mr. Dev Maharana,Mrs. Harsh Maharana,2013-07-23,"Village, Road 3, Balasore",9677059809,1,95,"{""hindi"": 72, ""odia"": 72, ""science"": 86, ""mathematics"": 73, ""english"": 55, ""computer_science"": 49, ""social_science"": 72}"
13,Diya Kar,Class 8,D,0013,Mr. Shaurya Kar,Mrs. Kian Kar,2013-08-22,"Village, Road 3, Balasore",9252936103,1,89,"{""mathematics"": 79, ""odia"": 87, ""hindi"": 79, ""social_science"": 60, ""computer_science"": 63, ""english"": 60, ""science"": 83}"
14,Kabir Biswal,Class 1,B,0014,Mr. Inaya Biswal,Mrs. Aryan Biswal,2012-04-25,"House 456, Road 3, Puri",9849000562,1,76,"{""mathematics"": 93, ""computer_science"": 74, ""science"": 91}"
15,Aanya Sahu,Class 8,D,0015,Mr. Prisha Sahu,Mrs. Avni Sahu,2012-07-06,"Plot 123, Street 2, Mayurbhanj",9963165695,1,78,"{""odia"": 60, ""mathematics"": 41, ""computer_science"": 45, ""science"": 50, ""social_science"": 42, ""english"": 52, ""hindi"": 63}"
16,Aditya Pradhan,Class 3,B,0016,Mr. Kabir Pradhan,Mrs. Darsh Pradhan,2013-06-05,"Village, Street 2, Cuttack",9739245366,1,86,"{""social_science"": 85, ""mathematics"": 74, ""science"": 68, ""hindi"": 83}"
17,Rudra Mallick,Class 9,B,0017,Mr. Reyansh Mallick,Mrs. Sai Mallick,2011-10-31,"Village, Lane 1, Puri",9511221431,1,82,"{""social_science"": 71, ""english"": 63, ""computer_science"": 94, ""odia"": 40, ""science"": 47, ""hindi"": 78, ""mathematics"": 94}"
18,Rudra Sahoo,Class 2,D,0018,Mr. Arnav Sahoo,Mrs. Arnav Sahoo,2013-09-08,"Plot 123, Lane 1, Balasore",9854309354,1,87,"{""computer_science"": 92, ""odia"": 50, ""science"": 95, ""english"": 61}"
19,Samarth Kumar,Class 3,D,0019,Mr. Pihu Kumar,Mrs. Daksh Kumar,2012-04-26,"Village, Road 3, Mayurbhanj",9755057840,1,82,"{""english"": 63, ""social_science"": 87, ""mathematics"": 68, ""science"": 68}"
20,Pari Nayak,Class 7,E,0020,Mr. Vihaan Nayak,Mrs. Avni Nayak,2012-08-09,"Village, Lane 1, Mayurbhanj",9220816859,1,78,"{""hindi"": 46, ""science"": 67, ""computer_science"": 85, ""mathematics"": 80, ""social_science"": 41, ""odia"": 85}"
21,Kavya Parida,Class 2,B,0021,Mr. Jai Parida,Mrs. Pihu Parida,2014-03-27,"Plot 123, Lane 1, Mayurbhanj",9756230079,1,83,"{""computer_science"": 55, ""hindi"": 78, ""english"": 69, ""science"": 47}"
22,Daksh Patel,Class 3,D,0022,Mr. Rishabh Patel,Mrs. Ishaan Patel,2013-05-25,"Village, Street 2, Balasore",9725731187,1,88,"{""english"": 63, ""hindi"": 47, ""science"": 78, ""computer_science"": 88}"
