id,name,subject,qualification,experience,schoolId,classes,phone,salary,joiningDate
1,Mr. Kabir Dash,Social Science,M.Sc,4 years,1,"[""Class 10"", ""Class 8"", ""Class 1""]",9735211325,40267,2021-07-27
2,Ms. Navya Rout,English,M.Sc,7 years,1,"[""Class 4"", ""Class 2"", ""Class 3"", ""Class 7""]",9548823352,81568,2017-06-05
3,Ms. Aanya Sahoo,Science,M.A,19 years,1,"[""Class 9"", ""Class 7"", ""Class 3"", ""Class 6""]",9720239684,51452,2022-03-08
4,Mrs. Jai Kumar,English,M.Sc,18 years,1,"[""Class 5"", ""Class 5"", ""Class 8""]",9124730560,67726,2003-04-02
5,Mrs. Ayaan Kar,Science,M.A,11 years,1,"[""Class 8"", ""Class 10""]",9310769880,33446,2012-11-24
6,Mr. Shaurya Jena,Science,B.A,19 years,1,"[""Class 4"", ""Class 8"", ""Class 1""]",9729261611,44844,2004-07-05
7,Mrs. Divyansh Tripathy,Odia,B.Sc,11 years,1,"[""Class 7"", ""Class 7"", ""Class 1""]",9520390655,25576,2020-07-26
8,Mr. Saanvi Samantaray,Social Science,M.A,1 years,1,"[""Class 1"", ""Class 6""]",9370605059,44940,2020-12-25
9,Ms. Aanya Sahoo,Social Science,M.A,12 years,1,"[""Class 1"", ""Class 6"", ""Class 7"", ""Class 3""]",9375183965,80650,2014-03-22
10,Mr. Arjun Sahu,English,B.A,23 years,1,"[""Class 9"", ""Class 4"", ""Class 9""]",9352583371,46841,2006-09-15
11,Ms. Aanya Senapati,Hindi,B.Sc,12 years,1,"[""Class 10"", ""Class 6""]",9945012930,81651,2009-11-06
12,Mrs. Pihu Patel,Social Science,M.A,17 years,1,"[""Class 8"", ""Class 1"", ""Class 6"", ""Class 3""]",9613593207,59902,2003-09-11
13,Ms. Shivansh Mohanty,Science,B.Sc,19 years,1,"[""Class 9"", ""Class 6"", ""Class 9""]",9647641109,57364,2001-11-27
14,Mrs. Darsh Patel,Social Science,M.A,24 years,1,"[""Class 7"", ""Class 6"", ""Class 10""]",9281837593,58802,2019-01-10
15,Mr. Diya Patra,Social Science,M.Sc,18 years,1,"[""Class 9"", ""Class 2""]",9540528127,47777,2011-11-24
16,Mrs. Inaya Pradhan,Computer Science,B.A,17 years,2,"[""Class 4"", ""Class 3"", ""Class 6""]",9936572825,76197,2022-12-16
17,Mr. Ayaan Sharma,English,B.A,5 years,2,"[""Class 4"", ""Class 8"", ""Class 4""]",9157771294,79520,2006-12-30
18,Mrs. Harsh Dash,Hindi,B.A,18 years,2,"[""Class 2"", ""Class 5"", ""Class 2"", ""Class 2""]",9943765921,75494,2016-01-13
19,Ms. Pari Mohapatra,Hindi,B.Ed,20 years,2,"[""Class 10"", ""Class 3""]",9812578656,35953,2008-12-16
20,Mr. Prisha Maharana,Social Science,M.Sc,14 years,2,"[""Class 6"", ""Class 6"", ""Class 8""]",9965644648,40298,2011-05-25
21,Ms. Khushi Samantaray,Science,B.A,11 years,2,"[""Class 1"", ""Class 7"", ""Class 10""]",9124970514,40920,2002-09-25
22,Ms. Daksh Singh,English,B.Sc,24 years,2,"[""Class 6"", ""Class 2"", ""Class 7""]",9461821715,75438,2020-09-03
23,Mr. Prisha Dash,Science,B.A,3 years,2,"[""Class 1"", ""Class 4"", ""Class 9""]",9643089892,49269,2012-03-12
24,Ms. Atharv Singh,Mathematics,B.A,3 years,2,"[""Class 7"", ""Class 7""]",9868120085,63433,2007-04-06
25,Mr. Shanaya Kar,Odia,B.Sc,19 years,2,"[""Class 1"", ""Class 5""]",9791848194,40445,2019-05-20
26,Mr. Pihu Pradhan,Computer Science,M.Sc,15 years,2,"[""Class 3"", ""Class 2"", ""Class 9""]",9280417420,84541,2022-11-14
27,Mr. Vivaan Nayak,Odia,B.Sc,19 years,2,"[""Class 7"", ""Class 9""]",9519404345,67380,2014-10-29
28,Ms. Prisha Tripathy,Science,B.Sc,5 years,2,"[""Class 4"", ""Class 9"", ""Class 10"", ""Class 9""]",9766859494,64668,2015-01-13
29,Mrs. Daksh Barik,Mathematics,B.A,1 years,2,"[""Class 1"", ""Class 4"", ""Class 5"", ""Class 3""]",9871830417,48876,2010-06-03
30,Mrs. Kabir Dash,Odia,B.Sc,16 years,3,"[""Class 2"", ""Class 6""]",9420414343,77011,2016-10-14
31,Mr. Aryan Sahu,Hindi,M.A,17 years,3,"[""Class 6"", ""Class 5"", ""Class 2"", ""Class 2""]",9558091750,50053,2017-05-24
32,Mr. Aadhya Tripathy,Social Science,B.Sc,6 years,3,"[""Class 5"", ""Class 4"", ""Class 3""]",9898992848,51148,2009-10-11
33,Mr. Kiaan Naik,Social Science,B.A,18 years,3,"[""Class 6"", ""Class 7"", ""Class 3"", ""Class 7""]",9239724396,65119,2001-03-21
34,Mr. Kian Pradhan,English,B.Sc,13 years,3,"[""Class 3"", ""Class 4"", ""Class 1"", ""Class 9""]",9595973487,32193,2015-08-11
35,Mr. Om Singh,Science,B.A,10 years,3,"[""Class 2"", ""Class 1""]",9687014529,49678,2016-01-26
36,Ms. Riya Kar,Mathematics,M.A,17 years,3,"[""Class 6"", ""Class 4"", ""Class 1"", ""Class 9""]",9323896277,61694,2008-12-11
37,Mr. Atharv Kumar,Hindi,M.A,10 years,3,"[""Class 5"", ""Class 1"", ""Class 2""]",9189791434,32637,2015-06-25
38,Mrs. Arnav Rout,Social Science,B.Sc,22 years,3,"[""Class 10"", ""Class 8"", ""Class 5""]",9442619610,73121,2011-04-26
39,Mr. Neil Mohanty,Computer Science,B.A,13 years,3,"[""Class 5"", ""Class 7""]",9668941693,73531,2016-09-18
40,Mrs. Darsh Behera,English,B.Sc,3 years,3,"[""Class 1"", ""Class 3"", ""Class 6"", ""Class 6""]",9948815729,36923,2021-07-01
41,Mr. Yash Jena,Hindi,M.A,5 years,3,"[""Class 9"", ""Class 2"", ""Class 1""]",9811303209,57765,2024-06-12
42,Ms. Pari Rout,Social Science,B.Sc,24 years,3,"[""Class 6"", ""Class 8"", ""Class 4""]",9382753196,33612,2016-09-08
43,Mrs. Krishna Naik,English,M.Sc,3 years,3,"[""Class 7"", ""Class 4""]",9893355302,31257,2018-04-03
44,Mrs. Myra Lenka,Mathematics,B.A,25 years,3,"[""Class 9"", ""Class 2""]",9673456092,34020,2014-04-08
45,Ms. Krishna Sharma,Science,B.Sc,25 years,3,"[""Class 4"", ""Class 5"", ""Class 5""]",9229218728,42142,2012-04-21
46,Ms. Abhinav Kumar,Hindi,B.A,23 years,3,"[""Class 6"", ""Class 10"", ""Class 6""]",9170003675,53482,2003-05-19
47,Ms. Divyansh Swain,English,B.Ed,5 years,3,"[""Class 3"", ""Class 8"", ""Class 7""]",9733935876,42287,2001-01-12
48,Ms. Ayaan Lenka,Social Science,M.A,25 years,4,"[""Class 2"", ""Class 4""]",9587285886,30769,2023-12-07
49,Mrs. Abhinav Sahoo,English,B.Ed,20 years,4,"[""Class 10"", ""Class 8"", ""Class 6"", ""Class 3""]",9378648021,68069,2011-01-30
50,Ms. Vedant Biswal,Computer Science,B.A,9 years,4,"[""Class 5"", ""Class 6"", ""Class 1""]",9242473490,41767,2017-02-15
51,Mr. Atharv Sahu,Hindi,B.Sc,20 years,4,"[""Class 9"", ""Class 8""]",9782059566,63629,2015-04-21
52,Ms. Aryan Kar,Mathematics,B.A,13 years,4,"[""Class 8"", ""Class 2"", ""Class 8"", ""Class 9""]",9828545124,79878,2016-07-28
53,Ms. Raghav Jena,Computer Science,B.Sc,9 years,4,"[""Class 8"", ""Class 5"", ""Class 9"", ""Class 1""]",9428867066,75645,2023-01-02
54,Mrs. Aditya Rout,Hindi,B.A,11 years,4,"[""Class 7"", ""Class 7"", ""Class 10""]",9900951918,64357,2002-09-18
55,Mrs. Rudra Rout,Computer Science,B.Sc,3 years,4,"[""Class 6"", ""Class 5"", ""Class 5"", ""Class 10""]",9617459051,32275,2019-06-16
56,Ms. Sai Rout,English,B.A,16 years,4,"[""Class 8"", ""Class 4""]",9726286244,78512,2017-07-08
57,Mr. Raghav Mishra,Odia,B.Sc,17 years,4,"[""Class 6"", ""Class 9"", ""Class 9""]",9969915308,59140,2019-02-14
58,Ms. Pari Sahoo,Mathematics,B.Ed,18 years,4,"[""Class 6"", ""Class 5"", ""Class 2"", ""Class 9""]",9866659394,43199,2012-01-13
59,Mr. Raghav Senapati,Hindi,M.A,6 years,5,"[""Class 2"", ""Class 4"", ""Class 1"", ""Class 2""]",9144370370,55839,2017-07-16
60,Mr. Vedant Nayak,Mathematics,B.Sc,5 years,5,"[""Class 5"", ""Class 6"", ""Class 9"", ""Class 10""]",9894302954,49535,2001-12-13
61,Mr. Abhinav Naik,Science,B.Sc,3 years,5,"[""Class 1"", ""Class 7""]",9901544938,81393,2013-06-10
62,Mr. Raghav Samantaray,Hindi,B.Ed,7 years,5,"[""Class 8"", ""Class 5"", ""Class 4""]",9151358756,51777,2017-12-30
63,Mr. Sai Jena,Hindi,B.A,6 years,5,"[""Class 2"", ""Class 9"", ""Class 9"", ""Class 4""]",9231891378,63781,2023-04-24
64,Mr. Dev Pradhan,Odia,B.Sc,9 years,5,"[""Class 9"", ""Class 5""]",9843371103,62378,2001-10-04
65,Ms. Om Sharma,Social Science,B.Sc,22 years,5,"[""Class 9"", ""Class 8"", ""Class 10"", ""Class 10""]",9300489344,64633,2008-12-28
66,Mr. Kabir Kar,Social Science,B.Ed,16 years,5,"[""Class 7"", ""Class 4"", ""Class 1"", ""Class 6""]",9432335446,74614,2013-12-02
